idx,note,channel,velocity,pretty_start,pretty_end,mido_start,mido_end,diff_start,diff_end
0,57,0,127,0.000000,2.000000,0.000000,2.823528,0.000000,-0.823528
1,64,0,127,0.000000,2.000000,0.000000,2.823528,0.000000,-0.823528
2,52,0,95,0.125000,0.250000,0.176471,0.352941,-0.051471,-0.102941
3,60,0,95,0.250000,0.375000,0.352941,0.529412,-0.102941,-0.154412
4,69,0,127,0.375000,0.500000,0.529412,0.705882,-0.154412,-0.205882
5,79,0,127,0.500000,0.750000,0.705882,1.058823,-0.205882,-0.308823
6,60,0,95,0.750000,1.000000,1.058823,1.411764,-0.308823,-0.411764
7,65,0,95,0.750000,1.000000,1.058823,1.411764,-0.308823,-0.411764
8,72,0,127,0.750000,1.250000,1.058823,1.764705,-0.308823,-0.514705
9,53,0,95,1.000000,2.000000,1.411764,2.823528,-0.411764,-0.823528
10,48,0,95,1.125000,1.250000,1.588234,1.764705,-0.463234,-0.514705
11,60,0,95,1.250000,1.875000,1.764705,2.647057,-0.514705,-0.772057
12,65,0,127,1.375000,1.500000,1.941175,2.117646,-0.566175,-0.617646
13,72,0,127,1.500000,1.750000,2.117646,2.470587,-0.617646,-0.720587
14,79,0,127,1.750000,3.000000,2.470587,4.235292,-0.720587,-1.235292
15,55,0,95,2.000000,2.375000,2.823528,3.352940,-0.823528,-0.977940
16,50,0,73,2.125000,2.250000,2.999998,3.176469,-0.874998,-0.926469
17,55,0,79,2.250000,2.375000,3.176469,3.882351,-0.926469,-1.507351
18,67,0,127,2.375000,2.500000,3.352940,3.529410,-0.977940,-1.029410
19,72,0,127,2.500000,2.750000,3.529410,3.882351,-1.029410,-1.132351
20,79,0,127,2.750000,3.000000,3.882351,4.941174,-1.132351,-1.941174
21,60,0,95,2.750000,3.500000,3.882351,5.294115,-1.132351,-1.794115
22,48,0,95,2.750000,3.750000,3.882351,5.294115,-1.132351,-1.544115
23,55,0,95,3.000000,3.125000,4.235292,4.411763,-1.235292,-1.286763
24,60,0,95,3.125000,3.500000,4.411763,5.294115,-1.286763,-1.794115
25,64,0,127,3.250000,3.750000,4.588233,5.294115,-1.338233,-1.544115
26,62,0,82,3.500000,3.750000,4.941174,5.294115,-1.441174,-1.544115
27,60,0,95,3.750000,4.000000,5.294115,5.647056,-1.544115,-1.647056
28,79,0,127,3.750000,4.000000,5.294115,5.647056,-1.544115,-1.647056
29,57,0,127,4.000000,5.000000,5.647056,7.058820,-1.647056,-2.058820
30,64,0,127,4.000000,5.000000,5.647056,7.058820,-1.647056,-2.058820
31,52,0,95,4.125000,4.250000,5.823526,5.999997,-1.698526,-1.749997
32,60,0,95,4.250000,4.375000,5.999997,6.176468,-1.749997,-1.801468
33,69,0,127,4.375000,4.500000,6.176468,6.352938,-1.801468,-1.852938
34,79,0,127,4.500000,4.750000,6.352938,6.705879,-1.852938,-1.955879
35,53,0,95,4.750000,5.000000,6.705879,7.058820,-1.955879,-2.058820
36,65,0,95,4.750000,5.000000,6.705879,7.058820,-1.955879,-2.058820
37,72,0,127,4.750000,5.250000,6.705879,7.411761,-1.955879,-2.161761
38,53,0,95,5.000000,5.750000,7.058820,8.117643,-2.058820,-2.367643
39,48,0,95,5.125000,5.250000,7.235290,7.411761,-2.110290,-2.161761
40,48,0,95,5.250000,5.750000,7.411761,8.117643,-2.161761,-2.367643
41,53,0,95,5.250000,5.750000,7.411761,8.470584,-2.161761,-2.720584
42,60,0,127,5.375000,5.500000,7.588232,7.764702,-2.213232,-2.264702
43,65,0,127,5.375000,5.500000,7.588232,7.764702,-2.213232,-2.264702
44,67,0,127,5.500000,5.750000,7.764702,8.117643,-2.264702,-2.367643
45,72,0,127,5.500000,5.750000,7.764702,8.117643,-2.264702,-2.367643
46,62,0,127,5.750000,5.875000,8.117643,8.294113,-2.367643,-2.419113
47,55,0,95,5.750000,6.375000,8.117643,8.999996,-2.367643,-2.624996
48,48,0,95,5.750000,8.000000,8.117643,11.294112,-2.367643,-3.294112
49,60,0,127,5.875000,6.250000,8.294113,8.823525,-2.419113,-2.573525
50,50,0,95,6.125000,6.250000,8.647054,8.823525,-2.522054,-2.573525
51,55,0,95,6.250000,6.375000,8.823525,8.999996,-2.573525,-2.624996
52,65,0,77,6.250000,6.375000,8.823525,10.235289,-2.573525,-3.860289
53,67,0,127,6.375000,6.500000,8.999996,9.176466,-2.624996,-2.676466
54,72,0,127,6.500000,6.750000,9.176466,9.529407,-2.676466,-2.779407
55,50,0,95,6.625000,6.875000,9.352937,9.705877,-2.727937,-2.830877
56,71,0,127,6.750000,7.000000,9.529407,9.882348,-2.779407,-2.882348
57,59,0,95,6.875000,7.125000,9.705877,10.058818,-2.830877,-2.933818
58,67,0,127,7.000000,7.250000,9.882348,10.235289,-2.882348,-2.985289
59,55,0,95,7.125000,7.250000,10.058818,10.764701,-2.933818,-3.514701
60,62,0,127,7.250000,7.375000,10.235289,10.411760,-2.985289,-3.036760
61,60,0,127,7.375000,7.625000,10.411760,10.764701,-3.036760,-3.139701
62,55,0,95,7.500000,7.625000,10.588230,11.294112,-3.088230,-3.669112
63,50,0,95,7.625000,7.750000,10.764701,10.941171,-3.139701,-3.191171
64,67,0,127,7.625000,8.000000,10.764701,11.294112,-3.139701,-3.294112
65,59,0,95,7.750000,7.875000,10.941171,11.117641,-3.191171,-3.242641
66,55,0,95,7.875000,8.000000,11.117641,11.294112,-3.242641,-3.294112
67,57,0,127,8.000000,10.000000,11.294112,14.117640,-3.294112,-4.117640
68,64,0,127,8.000000,10.000000,11.294112,14.117640,-3.294112,-4.117640
69,52,0,95,8.125000,8.250000,11.470583,11.647053,-3.345583,-3.397053
70,60,0,95,8.250000,8.375000,11.647053,11.823524,-3.397053,-3.448524
71,69,0,127,8.375000,8.500000,11.823524,11.999994,-3.448524,-3.499994
72,67,0,127,8.500000,8.750000,11.999994,12.352935,-3.499994,-3.602935
73,79,0,127,8.500000,8.750000,11.999994,12.352935,-3.499994,-3.602935
74,60,0,95,8.750000,9.000000,12.352935,12.705876,-3.602935,-3.705876
75,65,0,95,8.750000,9.000000,12.352935,12.705876,-3.602935,-3.705876
76,72,0,127,8.750000,9.250000,12.352935,13.058817,-3.602935,-3.808817
77,53,0,95,9.000000,10.000000,12.705876,14.117640,-3.705876,-4.117640
78,48,0,95,9.125000,9.250000,12.882347,13.058817,-3.757347,-3.808817
79,60,0,95,9.250000,9.375000,13.058817,13.235288,-3.808817,-3.860288
80,67,0,70,9.250000,9.500000,13.058817,13.411758,-3.808817,-3.911758
81,65,0,95,9.375000,9.500000,13.235288,13.411758,-3.860288,-3.911758
82,72,0,95,9.500000,9.750000,13.411758,13.764699,-3.911758,-4.014699
83,79,0,127,9.500000,10.000000,13.411758,14.117640,-3.911758,-4.117640
84,79,0,95,9.750000,10.000000,13.764699,14.117640,-4.014699,-4.117640
85,64,0,73,10.000000,10.250000,14.117640,14.470581,-4.117640,-4.220581
86,55,0,95,10.000000,10.375000,14.117640,14.647051,-4.117640,-4.272051
87,50,0,95,10.125000,10.250000,14.294111,14.470581,-4.169111,-4.220581
88,55,0,95,10.250000,10.375000,14.470581,14.823522,-4.220581,-4.448522
89,72,0,127,10.250000,10.500000,14.470581,15.529404,-4.220581,-5.029404
90,67,0,95,10.375000,10.500000,14.647051,14.823522,-4.272051,-4.323522
91,72,0,95,10.500000,10.750000,14.823522,15.176463,-4.323522,-4.426463
92,79,0,127,10.500000,11.000000,14.823522,15.529404,-4.323522,-4.529404
93,79,0,95,10.750000,11.000000,15.176463,16.235286,-4.426463,-5.235286
94,48,0,95,11.000000,12.000000,15.529404,16.941168,-4.529404,-4.941168
95,60,0,95,11.000000,12.000000,15.529404,16.941168,-4.529404,-4.941168
96,55,0,95,11.125000,11.250000,15.705875,15.882345,-4.580875,-4.632345
97,64,0,95,11.250000,11.500000,15.882345,16.235286,-4.632345,-4.735286
98,62,0,95,11.500000,11.750000,16.235286,16.588227,-4.735286,-4.838227
99,72,0,127,11.500000,11.750000,16.235286,16.588227,-4.735286,-4.838227
100,60,0,95,11.750000,12.000000,16.588227,16.941168,-4.838227,-4.941168
101,79,0,127,11.750000,12.000000,16.588227,16.941168,-4.838227,-4.941168
102,57,0,127,12.000000,13.000000,16.941168,18.352932,-4.941168,-5.352932
103,64,0,127,12.000000,13.000000,16.941168,18.352932,-4.941168,-5.352932
104,52,0,95,12.125000,12.250000,17.117639,17.294109,-4.992639,-5.044109
105,60,0,95,12.250000,12.375000,17.294109,17.470579,-5.044109,-5.095579
106,69,0,127,12.375000,12.500000,17.470579,17.647050,-5.095579,-5.147050
107,67,0,127,12.500000,12.750000,17.647050,17.999991,-5.147050,-5.249991
108,79,0,127,12.500000,12.750000,17.647050,17.999991,-5.147050,-5.249991
109,60,0,95,12.750000,13.000000,17.999991,18.352932,-5.249991,-5.352932
110,65,0,95,12.750000,13.000000,17.999991,18.352932,-5.249991,-5.352932
111,72,0,127,12.750000,13.250000,17.999991,18.705873,-5.249991,-5.455873
112,53,0,95,13.000000,14.000000,18.352932,19.764696,-5.352932,-5.764696
113,48,0,95,13.125000,13.250000,18.529402,18.705873,-5.404402,-5.455873
114,60,0,95,13.250000,13.375000,18.705873,18.882344,-5.455873,-5.507344
115,67,0,69,13.250000,13.500000,18.705873,19.058814,-5.455873,-5.558814
116,65,0,95,13.375000,13.500000,18.882344,19.058814,-5.507344,-5.558814
117,67,0,95,13.500000,13.750000,19.058814,19.411755,-5.558814,-5.661755
118,79,0,127,13.500000,14.000000,19.058814,19.764696,-5.558814,-5.764696
119,62,0,127,13.750000,13.875000,19.411755,19.588226,-5.661755,-5.713226
120,55,0,95,13.750000,15.250000,19.411755,21.529401,-5.661755,-6.279401
121,48,0,95,13.750000,16.000000,19.411755,22.588224,-5.661755,-6.588224
122,60,0,127,13.875000,14.375000,19.588226,20.294107,-5.713226,-5.919107
123,50,0,95,14.125000,14.250000,19.941167,20.117637,-5.816167,-5.867637
124,55,0,95,14.250000,15.250000,20.117637,22.588224,-5.867637,-7.338224
125,67,0,127,14.375000,14.500000,20.294107,20.470578,-5.919107,-5.970578
126,76,0,124,14.500000,14.562500,20.470578,20.558813,-5.970578,-5.996313
127,77,0,122,14.562500,14.625000,20.558813,20.647049,-5.996313,-6.022049
128,76,0,120,14.625000,14.750000,20.647049,20.823519,-6.022049,-6.073519
129,74,0,116,14.750000,14.875000,20.823519,20.999990,-6.073519,-6.124990
130,72,0,112,14.875000,15.000000,20.999990,21.176460,-6.124990,-6.176460
131,74,0,109,15.000000,15.062500,21.176460,21.264695,-6.176460,-6.202195
132,76,0,107,15.062500,15.125000,21.264695,21.352930,-6.202195,-6.227930
133,72,0,105,15.125000,15.187500,21.352930,21.441166,-6.227930,-6.253666
134,74,0,103,15.187500,15.250000,21.441166,21.529401,-6.253666,-6.279401
135,72,0,101,15.250000,15.312500,21.529401,21.617636,-6.279401,-6.305136
136,67,0,99,15.312500,15.375000,21.617636,21.705872,-6.305136,-6.330872
137,65,0,97,15.375000,15.437500,21.705872,21.794107,-6.330872,-6.356607
138,64,0,95,15.437500,15.500000,21.794107,21.882342,-6.356607,-6.382342
139,50,0,95,15.500000,15.625000,21.882342,22.058812,-6.382342,-6.433812
140,67,0,111,15.500000,15.625000,21.882342,22.058812,-6.382342,-6.433812
141,72,0,127,15.750000,15.875000,22.235283,22.411753,-6.485283,-6.536753
142,48,0,95,15.875000,16.000000,22.411753,22.588224,-6.536753,-6.588224
143,74,0,127,16.000000,16.250000,22.588224,22.941165,-6.588224,-6.691165
144,67,0,127,16.000000,17.000000,22.588224,23.999988,-6.588224,-6.999988
145,72,0,127,16.250000,16.500000,22.941165,23.294106,-6.691165,-6.794106
146,55,0,95,16.375000,16.625000,23.117635,23.470576,-6.742635,-6.845576
147,60,0,95,16.375000,16.625000,23.117635,23.470576,-6.742635,-6.845576
148,72,0,127,16.500000,16.750000,23.294106,23.647047,-6.794106,-6.897047
149,48,0,95,16.750000,17.000000,23.647047,23.999988,-6.897047,-6.999988
150,72,0,127,16.750000,17.000000,23.647047,23.999988,-6.897047,-6.999988
151,76,0,127,17.000000,17.250000,23.999988,24.352929,-6.999988,-7.102929
152,67,0,127,17.000000,18.000000,23.999988,25.411752,-6.999988,-7.411752
153,72,0,127,17.250000,17.500000,24.352929,24.705870,-7.102929,-7.205870
154,55,0,95,17.250000,17.625000,24.352929,24.882341,-7.102929,-7.257341
155,60,0,95,17.250000,17.625000,24.352929,24.882341,-7.102929,-7.257341
156,72,0,127,17.500000,17.750000,24.705870,25.058811,-7.205870,-7.308811
157,48,0,95,17.625000,17.750000,24.882341,25.058811,-7.257341,-7.308811
158,52,0,95,17.750000,18.000000,25.058811,25.411752,-7.308811,-7.411752
159,55,0,95,17.750000,18.000000,25.058811,25.411752,-7.308811,-7.411752
160,60,0,95,17.750000,18.000000,25.058811,25.411752,-7.308811,-7.411752
161,72,0,127,17.750000,18.000000,25.058811,25.411752,-7.308811,-7.411752
162,74,0,127,18.000000,18.250000,25.411752,25.764693,-7.411752,-7.514693
163,67,0,127,18.000000,19.000000,25.411752,26.823516,-7.411752,-7.823516
164,50,0,95,18.250000,18.375000,25.764693,25.941163,-7.514693,-7.566163
165,74,0,127,18.250000,18.375000,25.764693,25.941163,-7.514693,-7.566163
166,76,0,127,18.375000,18.500000,25.941163,26.117634,-7.566163,-7.617634
167,55,0,95,18.375000,18.625000,25.941163,26.294104,-7.566163,-7.669104
168,60,0,95,18.375000,18.625000,25.941163,26.294104,-7.566163,-7.669104
169,74,0,127,18.500000,18.750000,26.117634,26.470575,-7.617634,-7.720575
170,50,0,95,18.750000,19.000000,26.470575,26.823516,-7.720575,-7.823516
171,72,0,127,18.750000,19.000000,26.470575,26.823516,-7.720575,-7.823516
172,48,0,95,19.000000,19.500000,26.823516,27.529398,-7.823516,-8.029398
173,76,0,127,19.000000,19.500000,26.823516,27.529398,-7.823516,-8.029398
174,67,0,127,19.000000,19.750000,26.823516,27.882339,-7.823516,-8.132339
175,64,0,127,19.000000,20.000000,26.823516,28.235280,-7.823516,-8.235280
176,55,0,95,19.250000,19.500000,27.176457,27.529398,-7.926457,-8.029398
177,60,0,95,19.250000,19.500000,27.176457,27.529398,-7.926457,-8.029398
178,67,0,127,19.500000,19.750000,27.529398,28.235280,-8.029398,-8.485280
179,55,0,95,19.750000,20.000000,27.882339,28.235280,-8.132339,-8.235280
180,59,0,95,19.750000,20.000000,27.882339,28.235280,-8.132339,-8.235280
181,72,0,127,19.750000,20.000000,27.882339,28.235280,-8.132339,-8.235280
182,74,0,127,20.000000,20.250000,28.235280,28.588221,-8.235280,-8.338221
183,67,0,127,20.000000,21.000000,28.235280,29.647044,-8.235280,-8.647044
184,72,0,127,20.250000,20.500000,28.588221,28.941162,-8.338221,-8.441162
185,55,0,95,20.375000,20.625000,28.764692,29.117632,-8.389692,-8.492632
186,60,0,95,20.375000,20.625000,28.764692,29.117632,-8.389692,-8.492632
187,72,0,127,20.500000,20.750000,28.941162,29.294103,-8.441162,-8.544103
188,74,0,127,20.750000,20.875000,29.294103,29.470574,-8.544103,-8.595574
189,48,0,95,20.750000,21.000000,29.294103,29.647044,-8.544103,-8.647044
190,76,0,127,20.875000,21.000000,29.470574,29.647044,-8.595574,-8.647044
191,74,0,127,21.000000,21.250000,29.647044,29.999985,-8.647044,-8.749985
192,67,0,127,21.000000,22.000000,29.647044,31.058808,-8.647044,-9.058808
193,72,0,127,21.250000,21.500000,29.999985,30.352926,-8.749985,-8.852926
194,55,0,95,21.250000,21.625000,29.999985,30.529397,-8.749985,-8.904397
195,60,0,95,21.250000,21.625000,29.999985,30.529397,-8.749985,-8.904397
196,72,0,127,21.500000,21.875000,30.352926,30.882337,-8.852926,-9.007337
197,48,0,95,21.625000,21.750000,30.529397,30.705867,-8.904397,-8.955867
198,52,0,95,21.750000,22.000000,30.705867,31.058808,-8.955867,-9.058808
199,55,0,95,21.750000,22.000000,30.705867,31.058808,-8.955867,-9.058808
200,60,0,95,21.750000,22.000000,30.705867,31.058808,-8.955867,-9.058808
201,72,0,127,21.875000,22.000000,30.882337,31.058808,-9.007337,-9.058808
202,74,0,127,22.000000,22.250000,31.058808,31.411749,-9.058808,-9.161749
203,67,0,127,22.000000,23.000000,31.058808,32.470572,-9.058808,-9.470572
204,71,0,127,22.000000,23.000000,31.058808,32.470572,-9.058808,-9.470572
205,50,0,95,22.125000,22.250000,31.235278,31.411749,-9.110278,-9.161749
206,55,0,95,22.250000,22.375000,31.411749,31.588220,-9.161749,-9.213220
207,76,0,127,22.250000,22.500000,31.411749,31.764690,-9.161749,-9.264690
208,60,0,95,22.375000,22.500000,31.588220,31.764690,-9.213220,-9.264690
209,55,0,95,22.500000,22.625000,31.764690,31.941160,-9.264690,-9.316160
210,74,0,127,22.500000,22.750000,31.764690,32.117631,-9.264690,-9.367631
211,50,0,95,22.625000,22.750000,31.941160,32.117631,-9.316160,-9.367631
212,48,0,95,22.750000,22.875000,32.117631,32.294101,-9.367631,-9.419101
213,72,0,127,22.750000,23.000000,32.117631,32.470572,-9.367631,-9.470572
214,72,0,127,23.000000,23.500000,32.470572,33.176454,-9.470572,-9.676454
215,67,0,127,23.000000,23.750000,32.470572,33.529395,-9.470572,-9.779395
216,48,0,95,23.000000,24.000000,32.470572,33.882336,-9.470572,-9.882336
217,64,0,127,23.000000,24.000000,32.470572,33.882336,-9.470572,-9.882336
218,67,0,127,23.500000,23.750000,33.176454,33.882336,-9.676454,-10.132336
219,72,0,127,23.750000,24.000000,33.529395,33.882336,-9.779395,-9.882336
220,48,0,95,23.875000,24.000000,33.705866,33.882336,-9.830866,-9.882336
221,74,0,127,24.000000,24.250000,33.882336,34.235277,-9.882336,-9.985277
222,62,0,127,24.000000,25.000000,33.882336,35.294100,-9.882336,-10.294100
223,67,0,127,24.052083,25.000000,33.955865,35.294100,-9.903782,-10.294100
224,72,0,127,24.250000,24.500000,34.235277,34.588218,-9.985277,-10.088218
225,55,0,95,24.375000,24.625000,34.411747,34.764688,-10.036747,-10.139688
226,60,0,95,24.375000,24.625000,34.411747,34.764688,-10.036747,-10.139688
227,72,0,127,24.500000,24.750000,34.588218,34.941159,-10.088218,-10.191159
228,48,0,95,24.750000,25.000000,34.941159,35.294100,-10.191159,-10.294100
229,76,0,127,24.750000,25.000000,34.941159,35.294100,-10.191159,-10.294100
230,74,0,127,25.000000,25.250000,35.294100,35.647041,-10.294100,-10.397041
231,67,0,127,25.000000,26.000000,35.294100,36.705864,-10.294100,-10.705864
232,72,0,127,25.250000,25.500000,35.647041,35.999982,-10.397041,-10.499982
233,55,0,95,25.250000,25.625000,35.647041,36.176453,-10.397041,-10.551453
234,60,0,95,25.250000,25.625000,35.647041,36.176453,-10.397041,-10.551453
235,72,0,127,25.500000,26.000000,35.999982,36.705864,-10.499982,-10.705864
236,48,0,95,25.625000,25.750000,36.176453,36.352923,-10.551453,-10.602923
237,52,0,95,25.750000,26.000000,36.352923,36.705864,-10.602923,-10.705864
238,55,0,95,25.750000,26.000000,36.352923,36.705864,-10.602923,-10.705864
239,60,0,95,25.750000,26.000000,36.352923,36.705864,-10.602923,-10.705864
240,74,0,127,26.000000,26.250000,36.705864,37.058805,-10.705864,-10.808805
241,67,0,127,26.000000,27.000000,36.705864,38.117628,-10.705864,-11.117628
242,50,0,95,26.250000,26.375000,37.058805,37.235276,-10.808805,-10.860276
243,74,0,127,26.250000,26.375000,37.058805,37.235276,-10.808805,-10.860276
244,76,0,127,26.375000,26.500000,37.235276,37.411746,-10.860276,-10.911746
245,55,0,95,26.375000,26.625000,37.235276,37.588217,-10.860276,-10.963217
246,60,0,95,26.375000,26.625000,37.235276,37.588217,-10.860276,-10.963217
247,74,0,127,26.500000,26.750000,37.411746,37.764687,-10.911746,-11.014687
248,50,0,95,26.750000,27.000000,37.764687,38.117628,-11.014687,-11.117628
249,72,0,127,26.750000,27.000000,37.764687,38.117628,-11.014687,-11.117628
250,48,0,95,27.000000,27.500000,38.117628,38.823510,-11.117628,-11.323510
251,76,0,127,27.000000,27.500000,38.117628,38.823510,-11.117628,-11.323510
252,67,0,127,27.000000,27.750000,38.117628,39.176451,-11.117628,-11.426451
253,64,0,127,27.000000,28.000000,38.117628,39.529392,-11.117628,-11.529392
254,55,0,95,27.250000,27.500000,38.470569,38.823510,-11.220569,-11.323510
255,60,0,95,27.250000,27.500000,38.470569,38.823510,-11.220569,-11.323510
256,67,0,127,27.500000,27.750000,38.823510,39.529392,-11.323510,-11.779392
257,55,0,95,27.750000,28.000000,39.176451,39.529392,-11.426451,-11.529392
258,59,0,95,27.750000,28.000000,39.176451,39.529392,-11.426451,-11.529392
259,72,0,127,27.750000,28.000000,39.176451,39.529392,-11.426451,-11.529392
260,74,0,127,28.000000,28.250000,39.529392,39.882333,-11.529392,-11.632333
261,62,0,127,28.000000,29.000000,39.529392,40.941156,-11.529392,-11.941156
262,67,0,127,28.052083,29.000000,39.602921,40.941156,-11.550838,-11.941156
263,72,0,127,28.250000,28.500000,39.882333,40.235274,-11.632333,-11.735274
264,55,0,95,28.375000,28.625000,40.058804,40.411744,-11.683804,-11.786744
265,60,0,95,28.375000,28.625000,40.058804,40.411744,-11.683804,-11.786744
266,72,0,127,28.500000,28.750000,40.235274,40.588215,-11.735274,-11.838215
267,48,0,95,28.750000,29.000000,40.588215,40.941156,-11.838215,-11.941156
268,76,0,127,28.750000,29.000000,40.588215,40.941156,-11.838215,-11.941156
269,74,0,127,29.000000,29.250000,40.941156,41.294097,-11.941156,-12.044097
270,67,0,127,29.000000,30.000000,40.941156,42.352920,-11.941156,-12.352920
271,72,0,127,29.250000,29.500000,41.294097,41.647038,-12.044097,-12.147038
272,55,0,95,29.250000,29.625000,41.294097,41.823509,-12.044097,-12.198509
273,60,0,95,29.250000,29.625000,41.294097,41.823509,-12.044097,-12.198509
274,72,0,127,29.500000,30.000000,41.647038,42.352920,-12.147038,-12.352920
275,48,0,95,29.625000,29.750000,41.823509,41.999979,-12.198509,-12.249979
276,52,0,95,29.750000,30.000000,41.999979,42.352920,-12.249979,-12.352920
277,55,0,95,29.750000,30.000000,41.999979,42.352920,-12.249979,-12.352920
278,60,0,95,29.750000,30.000000,41.999979,42.352920,-12.249979,-12.352920
279,74,0,127,30.000000,30.250000,42.352920,42.705861,-12.352920,-12.455861
280,67,0,127,30.000000,31.000000,42.352920,43.764684,-12.352920,-12.764684
281,50,0,95,30.125000,30.250000,42.529390,42.705861,-12.404390,-12.455861
282,55,0,95,30.250000,30.375000,42.705861,42.882331,-12.455861,-12.507331
283,76,0,127,30.250000,30.500000,42.705861,43.058802,-12.455861,-12.558802
284,60,0,95,30.375000,30.500000,42.882331,43.058802,-12.507331,-12.558802
285,55,0,95,30.500000,30.625000,43.058802,43.235273,-12.558802,-12.610273
286,74,0,127,30.500000,30.750000,43.058802,43.411743,-12.558802,-12.661743
287,50,0,95,30.625000,30.750000,43.235273,43.411743,-12.610273,-12.661743
288,48,0,95,30.750000,30.875000,43.411743,43.588214,-12.661743,-12.713214
289,72,0,127,30.750000,31.000000,43.411743,43.764684,-12.661743,-12.764684
290,72,0,127,31.000000,31.500000,43.764684,44.470566,-12.764684,-12.970566
291,48,0,95,31.000000,32.000000,43.764684,45.176448,-12.764684,-13.176448
292,60,0,127,31.000000,32.000000,43.764684,45.176448,-12.764684,-13.176448
293,67,0,127,31.000000,32.000000,43.764684,45.176448,-12.764684,-13.176448
294,74,0,127,31.500000,31.750000,44.470566,44.823507,-12.970566,-13.073507
295,48,0,95,31.750000,32.000000,44.823507,45.176448,-13.073507,-13.176448
296,72,0,127,31.750000,32.000000,44.823507,45.176448,-13.073507,-13.176448
297,72,0,127,32.000000,32.250000,45.176448,45.529389,-13.176448,-13.279389
298,79,0,127,32.000000,32.250000,45.176448,45.529389,-13.176448,-13.279389
299,48,0,95,32.125000,32.250000,45.352919,45.529389,-13.227919,-13.279389
300,52,0,95,32.250000,32.375000,45.529389,45.705860,-13.279389,-13.330860
301,64,0,127,32.250000,32.500000,45.529389,45.882330,-13.279389,-13.382330
302,72,0,127,32.250000,32.500000,45.529389,45.882330,-13.279389,-13.382330
303,55,0,95,32.375000,32.500000,45.705860,45.882330,-13.330860,-13.382330
304,48,0,95,32.500000,32.625000,45.882330,46.058800,-13.382330,-13.433800
305,72,0,127,32.500000,32.750000,45.882330,46.235271,-13.382330,-13.485271
306,67,0,127,32.500000,33.000000,45.882330,46.588212,-13.382330,-13.588212
307,50,0,95,32.750000,32.875000,46.235271,46.411741,-13.485271,-13.536741
308,72,0,127,32.750000,32.875000,46.235271,46.411741,-13.485271,-13.536741
309,48,0,95,32.875000,33.000000,46.411741,46.588212,-13.536741,-13.588212
310,79,0,127,32.875000,33.000000,46.411741,46.588212,-13.536741,-13.588212
311,67,0,127,33.000000,33.250000,46.588212,46.941153,-13.588212,-13.691153
312,74,0,127,33.000000,33.250000,46.588212,46.941153,-13.588212,-13.691153
313,48,0,95,33.125000,33.250000,46.764682,46.941153,-13.639682,-13.691153
314,52,0,95,33.250000,33.375000,46.941153,47.117624,-13.691153,-13.742624
315,64,0,127,33.250000,33.500000,46.941153,47.294094,-13.691153,-13.794094
316,72,0,127,33.250000,33.500000,46.941153,47.294094,-13.691153,-13.794094
317,55,0,95,33.375000,33.500000,47.117624,47.294094,-13.742624,-13.794094
318,48,0,95,33.500000,33.625000,47.294094,47.470565,-13.794094,-13.845565
319,67,0,127,33.500000,34.000000,47.294094,47.999976,-13.794094,-13.999976
320,72,0,127,33.500000,34.000000,47.294094,47.999976,-13.794094,-13.999976
321,50,0,95,33.750000,33.875000,47.647035,47.823506,-13.897035,-13.948506
322,48,0,95,33.875000,34.000000,47.823506,47.999976,-13.948506,-13.999976
323,74,0,127,34.000000,34.250000,47.999976,48.352917,-13.999976,-14.102917
324,67,0,127,34.000000,34.500000,47.999976,48.705858,-13.999976,-14.205858
325,48,0,95,34.250000,34.375000,48.352917,48.529387,-14.102917,-14.154387
326,72,0,127,34.250000,34.375000,48.352917,48.529387,-14.102917,-14.154387
327,72,0,127,34.375000,34.500000,48.529387,48.705858,-14.154387,-14.205858
328,55,0,95,34.375000,34.750000,48.529387,49.058799,-14.154387,-14.308799
329,60,0,95,34.375000,34.750000,48.529387,49.058799,-14.154387,-14.308799
330,72,0,127,34.500000,34.750000,48.705858,49.058799,-14.205858,-14.308799
331,67,0,127,34.500000,35.000000,48.705858,49.411740,-14.205858,-14.411740
